Wall time,Step,Value
1647125025.867457,846999,-365.79998779296875
1647125067.525536,848999,-358.6000061035156
1647125088.370596,849999,-281.79998779296875
1647125109.04224,850999,-364.0
1647125171.606237,853999,-365.79998779296875
1647125234.026154,856999,-319.0
1647125317.1336188,860999,-407.20001220703125
1647125337.907465,861999,-344.79998779296875
1647125379.479302,863999,-406.6000061035156
1647125504.367827,869999,-294.3999938964844
1647125525.202191,870999,-366.3999938964844
1647125587.420672,873999,-327.3999938964844
1647125691.36128,878999,-352.6000061035156
1647125857.289934,886999,-438.3999938964844
1647125878.0748417,887999,-338.79998779296875
1647125898.911184,888999,-372.3999938964844
1647125919.679726,889999,-394.6000061035156
1647125961.356868,891999,-383.79998779296875
1647125982.132851,892999,-296.20001220703125
1647126064.761684,896999,-332.20001220703125
1647126127.29724,899999,-346.6000061035156
1647126148.058118,900999,-485.79998779296875
1647126168.74306,901999,-368.20001220703125
1647126210.309315,903999,-421.0
1647126251.780266,905999,-319.6000061035156
1647126438.689177,914999,-335.20001220703125
1647126563.346223,920999,-341.20001220703125
1647126584.260424,921999,-419.20001220703125
1647126625.877718,923999,-387.3999938964844
1647126667.4928,925999,-329.20001220703125
1647126709.1594512,927999,-392.20001220703125
1647126729.830305,928999,-353.20001220703125
1647126771.328176,930999,-349.6000061035156
1647126792.05812,931999,-332.79998779296875
1647126812.691144,932999,-347.20001220703125
1647126875.0882246,935999,-333.3999938964844
1647126937.527828,938999,-367.0
1647126979.2531729,940999,-309.3999938964844
1647127020.962892,942999,-361.6000061035156
1647127041.721037,943999,-298.6000061035156
1647127062.559535,944999,-337.0
1647127104.114787,946999,-407.20001220703125
1647127145.645494,948999,-343.0
1647127187.204934,950999,-405.3999938964844
1647127207.866443,951999,-470.79998779296875
1647127228.574408,952999,-479.20001220703125
1647127249.209461,953999,-362.20001220703125
1647127290.255342,955999,-322.6000061035156
1647127310.891428,956999,-422.79998779296875
1647127331.570835,957999,-328.0
1647127518.942109,966999,-363.3999938964844
1647127581.224053,969999,-338.20001220703125
1647127622.69099,971999,-394.6000061035156
1647127684.801857,974999,-378.3999938964844
1647127788.622424,979999,-397.0
1647127913.4297442,985999,-391.0
1647127996.623552,989999,-360.3999938964844
1647128017.547141,990999,-413.20001220703125
1647128079.901831,993999,-388.0
1647128100.757173,994999,-366.3999938964844
1647128163.131909,997999,-386.20001220703125
1647128204.672258,999999,-397.0
1647128267.203602,1002999,-344.20001220703125
1647128287.971359,1003999,-377.79998779296875
1647128308.849072,1004999,-343.0
1647128329.648469,1005999,-312.3999938964844
1647128412.607418,1009999,-525.4000244140625
1647128454.182815,1011999,-353.79998779296875
1647128495.828532,1013999,-352.0
1647128516.57199,1014999,-360.3999938964844
1647128537.203673,1015999,-341.79998779296875
1647128578.811528,1017999,-337.6000061035156
1647128703.109822,1023999,-419.20001220703125
1647128723.810537,1024999,-470.20001220703125
1647128765.418946,1026999,-328.6000061035156
1647128786.019358,1027999,-366.3999938964844
1647128827.4757252,1029999,-438.3999938964844
1647128889.703079,1032999,-363.3999938964844
1647128951.69545,1035999,-377.20001220703125
1647128972.505822,1036999,-378.3999938964844
1647129097.0909,1042999,-394.0
1647129159.452947,1045999,-375.3999938964844
1647129180.253625,1046999,-314.20001220703125
1647129242.549013,1049999,-479.79998779296875
1647129325.326193,1053999,-436.6000061035156
1647129366.831665,1055999,-426.3999938964844
1647129387.625473,1056999,-524.2000122070312
1647129408.442081,1057999,-420.3999938964844
1647129449.935041,1059999,-533.7999877929688
1647129491.367563,1061999,-388.0
1647129512.088161,1062999,-391.6000061035156
1647129574.321265,1065999,-308.79998779296875
1647129615.797743,1067999,-324.3999938964844
